area,mean_intensity
120,0.8589215686274481
935,0.5333574499318459
1366,0.6104771337524764
658,0.5020084629596521
859,0.7230934282909927
1188,0.643112497524262
791,0.7124810986341429
1003,0.6850683244384503
1098,0.6197685631629705
1611,0.7307785932498387
1369,0.7391519500422533
1201,0.648457984359439
1250,0.7415905882352929
1435,0.7478076108492168
4408,0.6374555175972391
1172,0.5047614267550014
1554,0.508985035455624
1631,0.7727305514480463
2169,0.6554972473083285
2397,0.6892148682585262
1098,0.6611932569020322
1482,0.5452713609060358
1112,0.6653662364226267
1384,0.5593732290604118
1735,0.5077030005085602
1460,0.5305707762557093
1226,0.6471363912612358
1208,0.6110156148552146
2311,0.6727187110240022
1509,0.5756214347899544
696,0.7274904214559363
1464,0.5322859744990895
150,0.969941176470591
1435,0.5767199562751913
1184,0.6182217143614199
1336,0.591301221087238
1326,0.6442218969035578
1469,0.5489341822501642
1315,0.584734213076864
1452,0.589803786528386
1511,0.5181538002361779
1448,0.5994163687574482
1410,0.6091225142539294
1834,0.6364541236341891
2562,0.7189951937058976
3084,0.7089456015869383
1113,0.7100954847347759
1413,0.706228577772226
773,0.6543045937650611
1409,0.5733756384029838
1075,0.7338586411308711
1218,0.6578342831385426
3400,0.781685409457901
1277,0.5802247915611036
929,0.7623820680048147
650,0.7376726998491691
2369,0.6805192064162102
1043,0.8060280488034155
1457,0.6043784569421449
2574,0.6306161159102337
780,0.7340761689291094
801,0.7651367163594522
1560,0.5359464555052793
1283,0.6451905002063191
1216,0.6088727102683162
2728,0.7468769765970901
1310,0.652663523424638
1421,0.6997999199679867
1080,0.7000190631808285
1520,0.5672865067079477
388,0.648673438447546
652,0.7257413087934568
895,0.7009541023113195
923,0.6741730928557762
599,0.5191839340076642
2664,0.7843825443090148
205,0.7372549019607781
1364,0.6237277902363284
2376,0.6821103188750243
914,0.6162397562963902
1251,0.6681729126502718
1504,0.6456703692115142
4270,0.6892535702805713
412,0.6710070435941395
895,0.6127450980392134
1283,0.6275961670716614
2723,0.7048238318463637
1587,0.7059422760912811
1275,0.6497946943483283
1330,0.5855683325961958
3669,0.665488272169048
1494,0.5345854004252301
446,0.5980458102523496
1330,0.6563165266106447
1311,0.6668162306875446
1241,0.6222037888483368
4494,0.6911204045481127
4222,0.6989896527061799
1288,0.6583546462063102
1202,0.6424301001598638
1483,0.5245342641439578
341,0.7921079868897775
1508,0.5723286264107761
1044,0.7412440838404337
818,0.8010858622177459
2196,0.6902617057752068
1639,0.7274222684803031
537,0.9478347391097989
1818,0.8287295886451389
1230,0.6496245815399349
1830,0.74042858673524
1539,0.8500242072137503
809,0.6470018662594835
104,0.5581447963800934
1119,0.6803238185354581
596,0.5686800894854555
1015,0.6953404810199947
837,0.706147070536698
1434,0.5188305029124622
858,0.7632398647104555
1293,0.6177441123394444
2778,0.7277149592738447
1971,0.5411869161667711
852,0.5962544877105788
730,0.5522146118721446
815,0.541893419944666
1378,0.5769252113036758
1991,0.6939068947518745
1166,0.6697978676891032
1867,0.6242152136698271
1127,0.6629173408493794
4064,0.6343655917091252
1218,0.6568015712031954
355,0.6641618337475753
1041,0.7062873180011661
2411,0.6356913980855723
981,0.7155053866602703
1819,0.6902914766786314
1662,0.6207292182817764
628,0.5481937679530422
1330,0.6332382426654862
2623,0.5249773870661494
185,0.6110121886592472
216,0.628830791575877
821,0.5402928040887486
